label,label
"MageArray Extensions","MageArray Extensions"
"Hide Price","Hide Price"
"General Options","General Options"
Enabled,Enabled
"Display Text","Display Text"
"Link URL","Link URL"
"Hide By Customer Group","Hide By Customer Group"
"Customer Group","Customer Group"
