"USD","USA",,,,
"US Dollar","$",,,,
"CAD","CAD"
"Canadian Dollar","CA$"
"Add to Wishlist","Add to Love",,,,
"Search entire store here...","Search Product here..."
"SKU","ITEM"
"Nom de famille","Last Name",,,,
"Last Name","Last Name",,,,
"SEND MAIL","OPEN AN ACCOUNT",,,,
